lemma,part_of_speech,antonyms,type
regular,adjective,irregular|irregular|irregular|constipated,human hobby
rehabilitative,adjective,punitive,establishment
reliable,adjective,unreliable|undependable,institution
reserved,adjective,unreserved|unreserved,human
resident,adjective,nonresident|migratory,animal
resolute,adjective,irresolute,country
responsible,adjective,irresponsible,institution
responsive,adjective,unresponsive,human
restrained,adjective,unrestrained,hobby
restrictive,adjective,unrestrictive,country
retarded,adjective,precocious,human
retentive,adjective,unretentive,country
reversible,adjective,irreversible|nonreversible,country
revived,adjective,unrevived,establishment
rewarding,adjective,unrewarding,human
rh-negative,adjective,rh-positive,human
rh-positive,adjective,rh-negative,human
right,adjective,left|incorrect|wrong|wrong|wrong|left,human industry
robust,adjective,frail,industry
roofed,adjective,roofless,country landscape
rough,adjective,smooth|smooth|smooth|cut,human
rude,adjective,civil,human country
rugged,adjective,delicate|unfurrowed,industry
ruminant,adjective,nonruminant,animal
running,adjective,standing|passing|standing,hobby
rural,adjective,urban,country
sacred,adjective,profane,human
saddled,adjective,unsaddled,animal
scented,adjective,scentless,country
sealed,adjective,unsealed|unsealed,landscape
seated,adjective,standing,human
seaward,adjective,inshore|offshore,country
seductive,adjective,unseductive,country
self-examining,adjective,extrospective,industry
selfless,adjective,egoistic,animal
senior,adjective,junior,institution
sensational,adjective,unsensational,human
sensitising,adjective,desensitizing,human
sensitive,adjective,insensitive|insensitive|insensible,country
sensitizing,adjective,desensitizing,human
servile,adjective,unservile,human
shaded,adjective,unshaded|unshaded,hobby
shallow,adjective,deep|deep,institution
sheathed,adjective,unsheathed,country landscape
shell-less,adjective,shelled,animal
shelled,adjective,unshelled,animal
short,adjective,long|long|tall|retentive|long|long,landscape
shuttered,adjective,unshuttered,country
shy,adjective,confident,human institution
similar,adjective,dissimilar|unalike|unlike,country
simple,adjective,complex|compound,country
single,adjective,common|double|multiple|married,human country
singular,adjective,plural|plural,human
sitting,adjective,standing,human
sleeved,adjective,sleeveless,country
slippery,adjective,nonslippery,institution
slow,adjective,fast|fast|fast,establishment
small,adjective,large|big,animal
smaller,adjective,large|big,animal
smooth,adjective,rough|rough|staccato|rough,landscape
social,adjective,unsocial,human institution
soled,adjective,soleless,country
sour,adjective,sweet,country
southern,adjective,northern|northern,country
specific,adjective,general|nonspecific,country
specified,adjective,unspecified,country
spiny,adjective,spineless,landscape
spoken,adjective,written,country
standing,adjective,running|running|seated,human
statesmanlike,adjective,unstatesmanlike,country
statesmanly,adjective,unstatesmanlike,country
stative,adjective,active,country
steady,adjective,unsteady,human country
steep,adjective,gradual,country
stemmed,adjective,stemless|acaulescent,country
stiff,adjective,impotent,country
stirred,adjective,unmoved,human
stormy,adjective,calm,human
stratified,adjective,unstratified,institution
structured,adjective,unstructured,establishment institution
stupid,adjective,smart|intelligent,country
stylish,adjective,styleless|unfashionable,hobby
subhuman,adjective,superhuman,human
submissive,adjective,domineering,country
superficial,adjective,profound,human
superhuman,adjective,subhuman,human
supernatural,adjective,natural,country
sure,adjective,uncertain|unsure|uncertain,human institution
surface-assimilative,adjective,nonadsorbent,country
susceptible,adjective,unsusceptible,human
sworn,adjective,unsworn,country
synergistic,adjective,antagonistic,institution
tactful,adjective,tactless,human
tame,adjective,wild|wild,country
tamed,adjective,wild,country
tangible,adjective,intangible|intangible|impalpable,establishment
tapped,adjective,untapped,hobby
temperate,adjective,intemperate|intemperate,human
tense,adjective,relaxed|lax|lax,country
terminal,adjective,intermediate,country
territorial,adjective,nonterritorial|extraterritorial,country
tight,adjective,loose|leaky,human country industry
timbered,adjective,untimbered,landscape
tipped,adjective,untipped,country
toed,adjective,toeless,country
tolerant,adjective,intolerant,country
toned,adjective,toneless,country
tongued,adjective,tongueless,country
toothed,adjective,toothless,country
topless,adjective,topped,landscape
touched,adjective,untouched|unmoved,human
tramontane,adjective,cismontane,country landscape
transmontane,adjective,cismontane,landscape
troubled,adjective,untroubled,country
true-false,adjective,multiple-choice,country
trustful,adjective,distrustful,institution
trusting,adjective,distrustful,institution
trustworthy,adjective,untrustworthy,institution
trusty,adjective,untrustworthy,institution
turned,adjective,unturned,country institution
two-handed,adjective,right-handed,human
typical,adjective,atypical,human
ugly,adjective,beautiful,landscape
unacceptable,adjective,acceptable,human
unaccompanied,adjective,accompanied|accompanied,country
unaffected,adjective,affected|moved|affected,human
unagitated,adjective,agitated|agitated,human
unaltered,adjective,altered,country
unanalyzed,adjective,analyzed,country
unarbitrary,adjective,arbitrary,country
unarmed,adjective,armed|armed,human animal
unarmored,adjective,armored|armored,human animal landscape
unarmoured,adjective,armored|armored,human animal landscape
unashamed,adjective,ashamed,human
unassisted,adjective,assisted,human
unattached,adjective,attached,animal
unbound,adjective,bound|bound,country landscape
unbridgeable,adjective,bridgeable,landscape
unchanged,adjective,changed|altered,country
unclear,adjective,well-defined|clear,country
unconformist,adjective,conformist,human
unconscious,adjective,conscious,country
uncontaminated,adjective,contaminated,institution
uncontaminating,adjective,dirty,country
uncultivated,adjective,cultivated,human
undemonstrative,adjective,demonstrative,human
undependable,adjective,reliable|dependable,institution
underprivileged,adjective,privileged,institution
understood,adjective,ununderstood,country
undocumented,adjective,documented,country
unemotional,adjective,emotional,human
unethical,adjective,ethical,human
unfaithful,adjective,faithful|faithful,institution
unfinished,adjective,finished|finished,country
unfledged,adjective,fledged,animal
unfruitful,adjective,fruitful,industry
ungregarious,adjective,gregarious|gregarious,establishment animal
unguided,adjective,guided,hobby
unimproved,adjective,improved,country
uninsured,adjective,insured,landscape
uninteresting,adjective,interesting,institution
uninvolved,adjective,involved,human
united,adjective,divided,human
unkeyed,adjective,tonal,hobby
unkind,adjective,kind,human
unlighted,adjective,lighted,country
unlit,adjective,lighted,country
unmarried,adjective,married,country
unmoved,adjective,moved,human
unmoving,adjective,moving|moving,human
unnatural,adjective,natural|normal|unaffected,hobby
unnoticeable,adjective,obtrusive|noticeable,hobby
unobjectionable,adjective,dirty,human
unorthodox,adjective,orthodox,human
unpatriotic,adjective,patriotic,country
unprocessed,adjective,refined|processed,country
unready,adjective,ready,country
unrecoverable,adjective,recoverable,landscape
unrefined,adjective,refined|refined,human
unregistered,adjective,registered|registered,animal institution
unreliable,adjective,reliable|dependable,institution
unrestrained,adjective,restrained,human
unrewarding,adjective,rewarding,human
unsectarian,adjective,sectarian,institution
unsensational,adjective,sensational,human
unsexed,adjective,uncastrated,country
unsheathed,adjective,sheathed,landscape
unshelled,adjective,shelled,animal
unsociable,adjective,sociable,institution
unsocial,adjective,social,institution
unspecified,adjective,specified,country
unstatesmanlike,adjective,statesmanlike,country
unstructured,adjective,structured,establishment institution
unstuck,adjective,stuck,establishment country institution
unsworn,adjective,sworn,country
unsystematic,adjective,systematic,establishment institution
untamed,adjective,tame,country
untouched,adjective,touched|moved,human
untrustworthy,adjective,trustworthy,institution
untrusty,adjective,trustworthy,institution
unwebbed,adjective,webbed,animal
upland,adjective,lowland,country landscape
upper-class,adjective,lower-class,institution
uptown,adjective,downtown,country
urban,adjective,rural,country
used,adjective,misused,human
usual,adjective,unusual,hobby
veiled,adjective,unveiled,landscape
ventral,adjective,dorsal|abaxial,animal
verbal,adjective,numerical,institution
vertical,adjective,inclined|unerect,establishment industry
violent,adjective,nonviolent,human
virtuous,adjective,wicked,country
warm-blooded,adjective,cold-blooded,animal
wary,adjective,unwary,institution
waxy,adjective,unimpressionable,landscape
weaned,adjective,unweaned,animal
webbed,adjective,unwebbed,animal
well-defined,adjective,ill-defined,country
western,adjective,eastern|eastern,country
wet,adjective,dry|dry|dry|dry,landscape industry
wheeled,adjective,wheelless,country
white,adjective,black|black,human
whole,adjective,fractional|half,establishment
wild,adjective,tame|tame,human country
wishful,adjective,undesirous,industry
wooded,adjective,unwooded,landscape
wrapped,adjective,unwrapped,landscape
young,adjective,old,human
younger,adjective,old,human
zygodactyl,adjective,heterodactyl,animal
closer,adjective,distant|distant|far,human industry
closest,adjective,distant|distant|far,human industry
slower,adjective,fast|fast|fast,establishment
slowest,adjective,fast|fast|fast,establishment
cleaner,adjective,dirty|unclean|dirty|dirty,human country
commoner,adjective,individual|uncommon,human
cooler,adjective,warm|warm|warm,human
drier,adjective,wet|wet|wet|wet|sweet|phlegmy,human industry
