lemma,part_of_speech,antonyms
catalectic,adjective,hypercatalectic
catarrhine,adjective,leptorrhine
catarrhinian,adjective,leptorrhine
categorematic,adjective,syncategorematic
cathodic,adjective,anodic
cationic,adjective,anionic
caudal,adjective,cephalic
caudate,adjective,acaudate
caudated,adjective,acaudate
caulescent,adjective,acaulescent
cauline,adjective,acaulescent|radical
caulked,adjective,uncaulked
causative,adjective,noncausative
cautious,adjective,incautious
ceilinged,adjective,floored
cellular,adjective,noncellular
cenobitic,adjective,eremitic
cenobitical,adjective,eremitic
cenogenetic,adjective,palingenetic
censored,adjective,uncensored
center,adjective,right
central,adjective,peripheral
centralised,adjective,decentralized
centralising,adjective,decentralizing
centralized,adjective,decentralized
centralizing,adjective,decentralizing
centrifugal,adjective,centripetal
centripetal,adjective,centrifugal
cephalic,adjective,caudal
cerebral,adjective,emotional
certain,adjective,uncertain|unsure|uncertain|uncertain|unsealed
certified,adjective,uncertified
changeable,adjective,immutable|unchangeable
changed,adjective,unchanged
changeful,adjective,unchangeable
changeless,adjective,mutable
characteristic,adjective,uncharacteristic
charged,adjective,uncharged
charitable,adjective,uncharitable
chartered,adjective,unchartered
chaste,adjective,unchaste
cheap,adjective,expensive
cheerful,adjective,depressing
cheerless,adjective,cheerful
chlamydeous,adjective,achlamydeous
cholinergic,adjective,anticholinergic
chondritic,adjective,achondritic
christian,adjective,unchristian
chromatic,adjective,diatonic|achromatic
chromatinic,adjective,achromatinic
chronic,adjective,acute
circular,adjective,square
cismontane,adjective,tramontane
civil,adjective,uncivil|sidereal
civilian,adjective,military
civilised,adjective,noncivilized
civilized,adjective,noncivilized
clad,adjective,unclothed
classic,adjective,nonclassical
classical,adjective,nonclassical
classified,adjective,unclassified|unclassified
clayey,adjective,arenaceous
clean,adjective,dirty|unclean|dirty|dirty
clean-handed,adjective,guilty
clear,adjective,unclear|opaque|ill-defined|cloudy
clear-thinking,adjective,confused
cleared,adjective,uncleared
clearheaded,adjective,confused
clement,adjective,inclement|inclement
climactic,adjective,anticlimactic
clincher-built,adjective,carvel-built
clinker-built,adjective,carvel-built
clockwise,adjective,counterclockwise
close,adjective,distant|distant|far
closed,adjective,open|open|open|open
closing,adjective,opening
clothed,adjective,unclothed
cloudy,adjective,clear
coarse,adjective,fine
coastal,adjective,inland
coated,adjective,uncoated
coenobitic,adjective,eremitic
coenobitical,adjective,eremitic
cognisable,adjective,unknowable
cognisant,adjective,unaware
cognizable,adjective,unknowable
cognizant,adjective,unaware
cognoscible,adjective,unknowable
coherent,adjective,incoherent|incoherent
coiled,adjective,uncoiled
cold,adjective,hot|hot
cold-blooded,adjective,warm-blooded
coldhearted,adjective,warmhearted
collapsable,adjective,noncollapsible
